T1,full_size,full_day_gross_pct,full_day_net_pct,full_equity,s1_size,s1_equity,naive_equity
2026-01-06,1.0,0.84,0.69,1.0069,1.0,1.0069,1.0027
2026-01-07,1.0,0.0,0.0,1.0069,1.0,1.0069,0.958592
2026-01-08,1.0,-0.5275,-0.6775,1.000078,0.5,1.003489,0.967481
2026-01-09,1.0,4.3639,4.2139,1.04222,1.0,1.045775,0.982222
2026-01-12,1.0,4.4635,4.3135,1.087177,1.0,1.090885,1.00267
2026-01-13,1.0,0.0,0.0,1.087177,1.0,1.090885,0.931888
2026-01-14,1.0,-1.5438,-1.6938,1.068762,0.5,1.081646,0.927126
2026-01-15,1.0,-2.9487,-3.0987,1.035644,1.0,1.048129,0.93155
2026-01-16,1.0,7.8481,7.6981,1.115369,0.5,1.088472,0.96411
2026-01-19,1.0,5.8496,5.6996,1.178941,0.5,1.119491,0.981008
2026-01-20,1.0,-2.9194,-3.0694,1.142755,1.0,1.08513,0.967004
2026-01-21,1.0,3.1368,2.9868,1.176887,0.5,1.101336,0.977286
2026-01-22,1.0,0.0,0.0,1.176887,1.0,1.101336,1.000545
2026-01-23,1.0,0.2436,0.0936,1.177989,1.0,1.102367,0.989381
2026-01-26,1.0,0.0,0.0,1.177989,1.0,1.102367,0.910999
2026-01-27,1.0,1.36,1.21,1.192243,0.5,1.109036,0.93562
2026-01-28,1.0,-2.287,-2.437,1.163187,0.5,1.095522,0.916353
2026-01-29,1.0,-4.0665,-4.2165,1.114142,0.5,1.072426,0.876628
2026-01-30,1.0,0.0,0.0,1.114142,0.5,1.072426,0.89266
2026-02-02,1.0,-4.7697,-4.9197,1.059329,0.5,1.046046,0.840778
2026-02-03,1.0,-2.0183,-2.1683,1.036359,0.5,1.034705,0.858003
2026-02-04,1.0,-2.589,-2.739,1.007974,1.0,1.006365,0.847612
2026-02-05,1.0,1.1133,0.9633,1.017683,1.0,1.016059,0.842781
2026-02-06,1.0,0.6024,0.4524,1.022287,0.5,1.018357,0.845651
2026-02-09,1.0,1.3889,1.2389,1.034952,1.0,1.030973,0.8596
2026-02-10,1.0,-1.0558,-1.2058,1.022473,1.0,1.018542,0.849621
2026-02-11,1.0,0.0,0.0,1.022473,1.0,1.018542,0.817198
2026-02-12,1.0,7.1177,6.9677,1.093716,0.5,1.054026,0.862883
2026-02-13,1.0,0.0,0.0,1.093716,0.5,1.054026,0.845443
2026-02-25,1.0,0.0,0.0,1.093716,1.0,1.054026,0.867858
2026-02-26,1.0,-3.7356,-3.8856,1.051218,1.0,1.013071,0.850444
2026-02-27,1.0,3.7436,3.5936,1.088995,1.0,1.049477,0.883054
2026-03-02,1.0,2.5579,2.4079,1.115217,1.0,1.074748,0.904317
2026-03-03,1.0,0.6089,0.4589,1.120335,0.5,1.077214,0.894015
2026-03-04,1.0,5.2466,5.0966,1.177434,0.5,1.104664,0.901304
2026-03-05,1.0,3.2099,3.0599,1.213462,0.5,1.121565,0.928884
2026-03-06,1.0,2.4715,2.3215,1.241633,1.0,1.147602,0.946344
2026-03-09,1.0,3.9696,3.8196,1.289058,1.0,1.191436,0.972707
2026-03-10,1.0,7.561,7.411,1.38459,0.5,1.235585,0.989652
2026-03-11,1.0,-1.6732,-1.8232,1.359347,1.0,1.213058,0.973038
2026-03-12,1.0,2.1342,1.9842,1.386319,0.5,1.225093,0.993547
2026-03-13,1.0,1.3905,1.2405,1.403516,0.5,1.232691,0.968293
2026-03-16,1.0,-6.396,-6.546,1.311641,0.5,1.192345,0.936416
2026-03-17,1.0,-2.5371,-2.6871,1.276396,1.0,1.160306,0.907217
2026-03-18,1.0,-4.7653,-4.9153,1.213657,0.5,1.131789,0.876018
2026-03-19,1.0,0.5402,0.3902,1.218393,1.0,1.136206,0.877499
2026-03-20,1.0,-3.8354,-3.9854,1.169836,0.5,1.113565,0.82041
2026-03-23,1.0,-1.0695,-1.2195,1.155569,0.5,1.106775,0.832409
2026-03-24,1.0,-2.7211,-2.8711,1.122392,0.5,1.090886,0.813012
2026-03-25,1.0,7.6368,7.4868,1.206423,1.0,1.172559,0.859584
2026-03-26,1.0,-5.2137,-5.3637,1.141714,1.0,1.109666,0.821473
2026-03-27,1.0,3.4195,3.2695,1.179043,0.5,1.127807,0.834286
2026-03-30,1.0,-3.8514,-4.0014,1.131864,0.5,1.105242,0.827619
2026-03-31,1.0,5.01,4.86,1.186873,1.0,1.158957,0.85342
2026-04-01,1.0,0.0,0.0,1.186873,0.5,1.158957,0.832861
2026-04-02,1.0,-4.0,-4.15,1.137618,1.0,1.110861,0.824486
2026-04-03,1.0,-3.6486,-3.7986,1.094404,0.5,1.089762,0.793167
2026-04-07,1.0,0.0,0.0,1.094404,0.5,1.089762,0.844463
2026-04-08,1.0,-1.3182,-1.4682,1.078336,1.0,1.073762,0.780538
2026-04-09,1.0,-2.6561,-2.8061,1.048076,1.0,1.043631,0.785615
2026-04-10,1.0,5.1554,5.0054,1.100537,0.5,1.06975,0.812788
2026-04-13,1.0,0.0,0.0,1.100537,1.0,1.06975,0.821516
2026-04-14,1.0,0.9744,0.8244,1.10961,1.0,1.078569,0.847778
2026-04-15,1.0,-4.3087,-4.4587,1.060135,1.0,1.030478,0.805336
2026-04-16,1.0,-0.5189,-0.6689,1.053044,0.5,1.027032,0.784207
2026-04-17,1.0,0.8944,0.7444,1.060883,1.0,1.034677,0.790045
2026-04-20,1.0,4.3769,4.2269,1.105725,1.0,1.078411,0.807841
2026-04-21,1.0,-2.6498,-2.7998,1.074767,1.0,1.048218,0.744761
2026-04-22,1.0,-1.8023,-1.9523,1.053784,0.5,1.037986,0.749619
2026-04-23,1.0,1.4965,1.3465,1.067973,1.0,1.051962,0.756693
2026-04-24,1.0,0.8552,0.7052,1.075504,0.5,1.055671,0.772807
2026-04-27,1.0,-2.6773,-2.8273,1.045096,0.5,1.040748,0.791795
2026-04-28,1.0,-0.1145,-0.2645,1.042331,0.5,1.039371,0.7897
2026-04-29,1.0,2.1323,1.9823,1.062994,0.5,1.049673,0.805781
2026-04-30,1.0,1.2158,1.0658,1.074323,1.0,1.06086,0.794536
2026-05-06,1.0,2.5005,2.3505,1.099575,1.0,1.085796,0.800801
2026-05-07,1.0,5.4693,5.3193,1.158065,1.0,1.143553,0.843398
2026-05-08,1.0,0.8927,0.7427,1.166665,1.0,1.152045,0.857886
2026-05-11,1.0,-4.4944,-4.6444,1.112481,1.0,1.09854,0.810103
2026-05-12,1.0,-5.4662,-5.6162,1.050001,1.0,1.036843,0.798168
2026-05-13,1.0,4.0057,3.8557,1.090486,0.5,1.056832,0.83477
2026-05-14,1.0,0.0,0.0,1.090486,1.0,1.056832,0.698683
2026-05-15,1.0,-1.5559,-1.7059,1.071884,0.5,1.047818,0.703296
2026-05-18,1.0,3.6014,3.4514,1.108879,0.5,1.0659,0.705959
2026-05-19,1.0,5.2623,5.1123,1.165568,1.0,1.120392,0.722746
2026-05-20,1.0,-8.3555,-8.5055,1.066431,1.0,1.025097,0.692652
2026-05-21,1.0,1.6417,1.4917,1.082339,0.5,1.032743,0.668323
2026-05-22,1.0,-4.0,-4.15,1.037422,0.5,1.011314,0.676618
2026-05-25,1.0,1.1848,1.0348,1.048157,1.0,1.021779,0.679559
2026-05-26,1.0,-4.0,-4.15,1.004659,0.5,1.000577,0.654581
2026-05-27,1.0,3.4137,3.2637,1.037447,0.5,1.016904,0.633465
2026-05-28,1.0,-2.5898,-2.7398,1.009023,0.5,1.002974,0.61634
2026-05-29,1.0,1.3697,1.2197,1.02133,1.0,1.015207,0.62368
2026-06-01,1.0,-4.1774,-4.3274,0.977133,0.5,0.993241,0.626458
2026-06-02,1.0,-2.7778,-2.9278,0.948524,0.5,0.978701,0.614234
2026-06-03,1.0,0.0,0.0,0.948524,0.5,0.978701,0.648842
2026-06-04,1.0,1.7867,1.6367,0.964049,0.5,0.98671,0.661942
2026-06-05,1.0,-5.0763,-5.2263,0.913665,0.5,0.960926,0.661774
2026-06-08,1.0,8.0532,7.9032,0.985874,0.5,0.998898,0.701727
2026-06-09,1.0,0.0,0.0,0.985874,0.5,0.998898,0.707247
2026-06-10,1.0,1.737,1.587,1.00152,1.0,1.01475,0.718471
2026-06-11,1.0,0.0,0.0,1.00152,0.5,1.01475,0.731818
2026-06-12,1.0,5.5091,5.3591,1.055192,0.5,1.041941,0.715956
2026-06-15,1.0,0.8335,0.6835,1.062405,1.0,1.049063,0.722006
2026-06-16,1.0,2.7903,2.6403,1.090455,1.0,1.076761,0.744403
2026-06-17,1.0,1.4809,1.3309,1.104968,1.0,1.091092,0.788941
2026-06-18,1.0,-2.2543,-2.4043,1.078402,0.5,1.077976,0.775584
2026-06-22,1.0,1.4311,1.2811,1.092217,0.5,1.084881,0.769148
2026-06-23,1.0,0.0,0.0,1.092217,1.0,1.084881,0.786896
2026-06-24,1.0,-4.0552,-4.2052,1.046287,0.5,1.06207,0.815309
2026-06-25,1.0,0.1849,0.0349,1.046652,0.5,1.062255,0.828125
2026-06-26,1.0,-6.7113,-6.8613,0.974838,0.5,1.025813,0.838516
2026-06-29,1.0,4.7584,4.6084,1.019763,0.5,1.04945,0.877158
2026-06-30,1.0,4.1797,4.0297,1.060856,0.5,1.070595,0.908614
2026-07-01,1.0,4.6802,4.5302,1.108915,1.0,1.119095,0.949776
2026-07-02,1.0,-1.3716,-1.5216,1.092042,1.0,1.102066,0.935324
2026-07-03,1.0,0.143,-0.007,1.091965,0.5,1.102028,0.955409
2026-07-06,1.0,3.42,3.27,1.127672,1.0,1.138063,0.953511
2026-07-07,1.0,0.0,0.0,1.127672,0.5,1.138063,0.911394
2026-07-09,1.0,-1.9932,-2.1432,1.103503,0.5,1.125868,0.903932
2026-07-10,1.0,-3.6818,-3.8318,1.061219,1.0,1.082727,0.873221
2026-07-13,1.0,4.6789,4.5289,1.10928,1.0,1.131762,0.872878
2026-07-14,1.0,7.3684,7.2184,1.189352,0.5,1.172609,0.951328
2026-07-15,1.0,8.2353,8.0853,1.285515,1.0,1.267418,1.007792
2026-07-16,1.0,3.2377,3.0877,1.325208,0.5,1.286985,1.022595
2026-07-17,1.0,0.0,0.0,1.325208,0.5,1.286985,0.981691
2026-07-20,1.0,8.6713,8.5213,1.438133,0.5,1.34182,1.065344
2026-07-21,1.0,0.0,0.0,1.438133,0.5,1.34182,1.069131
2026-07-22,1.0,0.0,0.0,1.438133,1.0,1.34182,1.125914
2026-07-23,1.0,7.711,7.561,1.54687,0.5,1.392547,1.146704
2026-07-24,1.0,0.0,0.0,1.54687,0.5,1.392547,1.033306
2026-07-27,1.0,0.0,0.0,1.54687,0.5,1.392547,1.101875
2026-07-28,1.0,8.1633,8.0133,1.670825,1.0,1.504135,1.11762
2026-07-29,1.0,-6.3115,-6.4615,1.562864,0.5,1.45554,1.060707
2026-07-30,1.0,9.8951,9.7451,1.715166,1.0,1.597384,1.119573
2026-07-31,1.0,5.5935,5.4435,1.808531,0.5,1.64086,1.227855
2026-08-03,1.0,4.9818,4.8318,1.895915,1.0,1.720143,1.282081
2026-08-04,1.0,4.9359,4.7859,1.986651,1.0,1.802467,1.34344
2026-08-05,1.0,-0.7895,-0.9395,1.967987,1.0,1.785533,1.337436
2026-08-06,1.0,6.5574,6.4074,2.094084,1.0,1.899939,1.385174
2026-08-07,1.0,0.8552,0.7052,2.108852,1.0,1.913338,1.398809
2026-08-10,1.0,0.8279,0.6779,2.123147,1.0,1.926308,1.41602
2026-08-11,1.0,6.5722,6.4222,2.259499,1.0,2.050019,1.441234
2026-08-12,1.0,4.4754,4.3254,2.357231,0.5,2.094354,1.507616
2026-08-13,1.0,-5.4299,-5.5799,2.225701,1.0,1.977492,1.464424
2026-08-14,1.0,-4.6478,-4.7978,2.118917,0.5,1.930055,1.370633
2026-08-17,1.0,0.5637,0.4137,2.127684,1.0,1.93804,1.378844
2026-08-18,1.0,0.0,0.0,2.127684,1.0,1.93804,1.309316
2026-08-19,1.0,0.2118,0.0618,2.128998,0.5,1.938638,1.2691
2026-08-20,1.0,-0.1563,-0.3063,2.122477,0.5,1.935669,1.308377
2026-08-21,1.0,0.0,0.0,2.122477,1.0,1.935669,1.382345
2026-08-24,1.0,-5.1763,-5.3263,2.009426,1.0,1.832569,1.333129
2026-08-25,1.0,0.0,0.0,2.009426,0.5,1.832569,1.322329
2026-08-26,1.0,1.2072,1.0572,2.030671,1.0,1.851944,1.398596
2026-08-27,1.0,0.0,0.0,2.030671,1.0,1.851944,1.417286
2026-08-28,1.0,0.0,0.0,2.030671,1.0,1.851944,1.399328
2026-08-31,1.0,0.0,0.0,2.030671,1.0,1.851944,1.409588
2026-09-01,1.0,-6.7442,-6.8942,1.890673,1.0,1.724267,1.36064
2026-09-02,1.0,9.6591,9.5091,2.070458,1.0,1.888229,1.310792
2026-09-03,1.0,-5.0,-5.15,1.96383,0.5,1.839607,1.181797
2026-09-04,1.0,-7.3761,-7.5261,1.816031,0.5,1.770383,1.089533
2026-09-07,1.0,0.0,0.0,1.816031,0.5,1.770383,1.080953
2026-09-08,1.0,0.0,0.0,1.816031,1.0,1.770383,1.079331
2026-09-09,1.0,2.3077,2.1577,1.855215,1.0,1.808582,1.096495
2026-09-10,1.0,0.0,0.0,1.855215,0.5,1.808582,1.062997
2026-09-11,1.0,-1.3966,-1.5466,1.826522,0.5,1.794596,1.038566
2026-09-14,1.0,8.7981,8.6481,1.984481,0.5,1.872195,1.079995
2026-09-15,1.0,3.2528,3.1028,2.046055,1.0,1.930285,1.037273
2026-09-16,1.0,-1.5549,-1.7049,2.011172,0.5,1.91383,1.005849
2026-09-17,1.0,0.0,0.0,2.011172,1.0,1.91383,1.02558
2026-09-18,1.0,4.9702,4.8202,2.108114,1.0,2.00608,1.070886
