T1,picks,trades,day_ret_pct,equity,trades_detail
2026-01-06,2,1,0.84,1.0084,002555.SZ:+0.84
2026-01-07,2,0,0.0,1.0084,
2026-01-08,3,3,-0.5275,1.00308,600266.SH:-8.52 600435.SH:+5.35 603011.SH:+1.59
2026-01-09,4,2,4.3639,1.046854,001400.SZ:+9.83 002297.SZ:-1.11
2026-01-12,2,1,4.4635,1.093581,001400.SZ:+4.46
2026-01-13,2,0,0.0,1.093581,
2026-01-14,3,1,-1.5438,1.076698,603799.SH:-1.54
2026-01-15,4,1,-2.9487,1.044949,002027.SZ:-2.95
2026-01-16,3,1,7.8481,1.126958,002156.SZ:+7.85
2026-01-19,3,1,5.8496,1.19288,002339.SZ:+5.85
2026-01-20,4,3,-2.9194,1.158056,002339.SZ:-3.65 002389.SZ:-4.00 002738.SZ:-1.11
2026-01-21,3,2,3.1368,1.194382,002354.SZ:-0.94 601616.SH:+7.22
2026-01-22,2,0,0.0,1.194382,
2026-01-23,4,1,0.2436,1.197292,601608.SH:+0.24
2026-01-26,2,0,0.0,1.197292,
2026-01-27,3,2,1.36,1.213575,000603.SZ:+7.56 002192.SZ:-4.84
2026-01-28,3,2,-2.287,1.18582,002077.SZ:-0.06 003031.SZ:-4.52
2026-01-29,3,1,-4.0665,1.137599,002171.SZ:-4.07
2026-01-30,3,0,0.0,1.137599,
2026-02-02,2,2,-4.7697,1.083339,002137.SZ:-5.54 003031.SZ:-4.00
2026-02-03,2,1,-2.0183,1.061473,601616.SH:-2.02
2026-02-04,2,1,-2.589,1.033992,600266.SH:-2.59
2026-02-05,2,1,1.1133,1.045503,600188.SH:+1.11
2026-02-06,2,1,0.6024,1.051802,603103.SH:+0.60
2026-02-09,2,1,1.3889,1.06641,605488.SH:+1.39
2026-02-10,2,1,-1.0558,1.055151,002534.SZ:-1.06
2026-02-11,2,0,0.0,1.055151,
2026-02-12,2,1,7.1177,1.130253,002378.SZ:+7.12
2026-02-13,2,0,0.0,1.130253,
2026-02-25,2,0,0.0,1.130253,
2026-02-26,2,1,-3.7356,1.088031,000545.SZ:-3.74
