T1,picks,trades,day_ret_pct,equity,trades_detail
2026-01-06,2,1,0.84,1.0084,002555.SZ:+0.84
2026-01-07,2,0,0.0,1.0084,
2026-01-08,3,3,-2.9599,0.978552,600266.SH:-6.60 600435.SH:-3.87 603011.SH:+1.59
2026-01-09,4,2,4.3639,1.021255,001400.SZ:+9.83 002297.SZ:-1.11
2026-01-12,2,1,-5.4229,0.965874,001400.SZ:-5.42
2026-01-13,2,0,0.0,0.965874,
2026-01-14,3,1,-1.5438,0.950963,603799.SH:-1.54
2026-01-15,4,1,-2.9487,0.922921,002027.SZ:-2.95
2026-01-16,3,1,7.8481,0.995353,002156.SZ:+7.85
2026-01-19,3,1,5.8496,1.053577,002339.SZ:+5.85
2026-01-20,4,3,-2.9831,1.022148,002339.SZ:-3.84 002389.SZ:-4.00 002738.SZ:-1.11
2026-01-21,4,2,3.1368,1.054211,002354.SZ:-0.94 601616.SH:+7.22
2026-01-22,2,0,0.0,1.054211,
2026-01-23,4,1,0.2436,1.056779,601608.SH:+0.24
2026-01-26,2,0,0.0,1.056779,
2026-01-27,3,2,1.36,1.071151,000603.SZ:+7.56 002192.SZ:-4.84
2026-01-28,3,2,-2.0148,1.049569,002077.SZ:-0.06 003031.SZ:-3.97
2026-01-29,3,1,-4.0665,1.006889,002171.SZ:-4.07
2026-01-30,3,0,0.0,1.006889,
2026-02-02,3,3,-4.4513,0.962069,002137.SZ:-4.41 003031.SZ:-4.00 601208.SH:-4.94
2026-02-03,3,2,-0.6288,0.956019,600959.SH:+2.81 601616.SH:-4.07
2026-02-04,4,3,1.5901,0.971221,002506.SZ:+9.88 600266.SH:-5.83 601877.SH:+0.71
2026-02-05,4,3,-1.6029,0.955653,002080.SZ:-4.00 600188.SH:+1.11 600938.SH:-1.92
2026-02-06,3,2,2.605,0.980548,600977.SH:+4.61 603103.SH:+0.60
2026-02-09,4,2,0.8907,0.989281,002497.SZ:+0.39 605488.SH:+1.39
2026-02-10,2,1,-1.0558,0.978836,002534.SZ:-1.06
2026-02-11,4,1,1.7487,0.995953,600410.SH:+1.75
2026-02-12,3,2,1.5588,1.011479,002378.SZ:+7.12 600586.SH:-4.00
