T,regime,lu_cnt,adv_ratio,us_ndx,n_lu_picks,n_nlu_picks,note
2026-05-06,aggressive,101,0.7080145719489982,1.03,2,0,非涨停组不足2只; 
2026-05-07,aggressive,100,0.6406335335882032,2.02,2,0,非涨停组不足2只; 
2026-05-08,aggressive,98,0.6614460025496267,-0.13,2,0,非涨停组不足2只; 
2026-05-11,aggressive,93,0.5667455836823894,1.71,2,0,非涨停组不足2只; 
2026-05-12,defensive,57,0.25100182149362477,0.1,2,1,
2026-05-13,aggressive,110,0.5840160203895868,-0.71,2,0,非涨停组不足2只; 
2026-05-14,defensive,55,0.1902421263426179,1.2,2,1,
2026-05-15,defensive,54,0.32793448589626933,0.88,2,1,
2026-05-18,normal,82,0.43080560101836696,-1.54,2,2,
2026-05-19,aggressive,90,0.654469324594939,-0.51,2,0,非涨停组不足2只; 
2026-05-20,defensive,62,0.2968892122976169,-0.84,2,1,
2026-05-21,defensive,35,0.12545454545454546,1.54,2,1,
2026-05-22,normal,115,0.6996183899691077,0.09,2,2,
2026-05-25,defensive,103,0.39469380337997456,0.19,2,1,
2026-05-26,defensive,49,0.24350354352171544,0.19,2,1,
2026-05-27,defensive,46,0.1751135331516803,1.19,2,1,
2026-05-28,normal,97,0.5427792915531335,0.07,2,2,
2026-05-29,defensive,51,0.27411444141689373,0.91,2,1,
2026-06-01,defensive,120,0.6823550790477921,0.2,2,0,
2026-06-02,defensive,66,0.2791712104689204,0.42,2,0,
2026-06-03,defensive,66,0.30929894660370505,0.03,2,1,
2026-06-04,defensive,78,0.24173628768616054,-0.89,2,0,
2026-06-05,normal,72,0.5859502632056635,-0.09,2,2,
2026-06-08,defensive,56,0.16161249319048485,-4.18,2,1,
2026-06-09,normal,127,0.5985838779956427,0.86,2,0,非涨停组不足2只; 
2026-06-10,defensive,70,0.2784741144414169,-0.97,2,0,
2026-06-11,defensive,69,0.2454578488372093,-1.98,2,0,
2026-06-12,normal,91,0.7079019073569482,2.54,2,1,非涨停组不足2只; 
2026-06-15,aggressive,147,0.7056898745682603,0.31,2,0,非涨停组不足2只; 
2026-06-16,normal,119,0.4925535779150018,3.07,2,2,
2026-06-17,defensive,86,0.31061432206470374,-1.15,2,1,
2026-06-18,defensive,91,0.3620658301509365,-1.34,2,1,
2026-06-22,aggressive,138,0.5279898218829516,1.91,2,0,非涨停组不足2只; 
2026-06-23,defensive,97,0.5002723806065008,-1.32,2,1,
2026-06-24,defensive,96,0.25935343261896115,-2.21,2,1,
2026-06-25,defensive,86,0.22288828337874658,-0.43,2,1,
2026-06-26,defensive,59,0.14093715946240465,-0.46,2,1,
2026-06-29,defensive,106,0.44593857895693256,-0.24,2,1,
2026-06-30,aggressive,142,0.5519622093023255,2.07,2,0,非涨停组不足2只; 
2026-07-01,aggressive,153,0.7844561467223534,1.52,2,0,非涨停组不足2只; 
2026-07-02,defensive,91,0.4008706693270452,-0.66,2,1,
2026-07-03,normal,107,0.6877721335268505,-0.8,2,2,
2026-07-06,defensive,72,0.33865409033194266,-0.8,2,0,
2026-07-07,defensive,34,0.1251587157627426,1.12,0,0,
2026-07-08,defensive,57,0.2863619876677548,-1.16,2,0,
2026-07-09,normal,74,0.4484134179510426,0.2,2,2,
2026-07-10,normal,90,0.6777234003987674,1.3,2,2,
2026-07-13,defensive,31,0.14365942028985507,0.29,2,0,
2026-07-14,normal,87,0.7609561752988048,-1.55,2,0,非涨停组不足2只; 
2026-07-15,defensive,73,0.6049248596777114,0.9,2,0,
2026-07-16,defensive,47,0.44983701557406736,0.62,2,0,
2026-07-17,defensive,33,0.08603513856185474,-1.47,2,0,
2026-07-20,defensive,55,0.3146840485243527,-1.4,2,0,
2026-07-21,normal,121,0.5615496017378712,-0.05,2,1,非涨停组不足2只; 
2026-07-22,defensive,47,0.27475113122171946,1.29,2,0,
2026-07-23,aggressive,129,0.7690497737556561,-0.57,2,0,非涨停组不足2只; 
2026-07-24,defensive,43,0.10027149321266968,-2.15,2,0,
2026-07-27,aggressive,121,0.9396957624049258,-0.64,2,0,非涨停组不足2只; 
2026-07-28,defensive,68,0.470034401593337,-0.18,2,0,
2026-07-29,aggressive,86,0.7693282636248415,-0.22,2,0,非涨停组不足2只; 
2026-07-30,defensive,56,0.3183791606367583,-1.74,2,0,
2026-07-31,aggressive,103,0.8471418234442837,2.78,2,0,非涨停组不足2只; 
2026-08-03,normal,83,0.7236389943931995,1.0,2,0,非涨停组不足2只; 
2026-08-04,aggressive,141,0.6585277627057334,2.13,2,0,非涨停组不足2只; 
2026-08-05,aggressive,104,0.6728127259580622,2.59,2,0,非涨停组不足2只; 
2026-08-06,normal,83,0.5033435749141515,-0.83,2,2,
2026-08-07,normal,76,0.5149051490514905,-0.06,2,2,
2026-08-10,aggressive,103,0.7342000722282412,1.3,2,0,非涨停组不足2只; 
2026-08-11,defensive,60,0.29030510922549196,-0.32,2,1,
2026-08-12,aggressive,96,0.7448998014081964,-0.6,2,0,非涨停组不足2只; 
2026-08-13,defensive,62,0.20595667870036102,0.54,2,1,
2026-08-14,normal,63,0.4326714801444043,0.81,2,2,
2026-08-17,aggressive,110,0.7824517060841307,-0.28,2,0,非涨停组不足2只; 
2026-08-18,defensive,80,0.3824909747292419,-0.32,2,1,
2026-08-19,defensive,38,0.08067135896047645,-1.33,2,1,
2026-08-20,aggressive,84,0.7383143836852554,0.16,2,0,非涨停组不足2只; 
2026-08-21,normal,58,0.45156052679054665,-1.0,2,0,非涨停组不足2只; 
2026-08-24,defensive,48,0.2631199278629396,0.43,2,0,
2026-08-25,normal,70,0.7632527948070682,-0.76,2,0,非涨停组不足2只; 
2026-08-26,normal,57,0.5305570578691184,0.66,2,0,非涨停组不足2只; 
2026-08-27,aggressive,78,0.6113214350099153,-0.08,2,0,非涨停组不足2只; 
2026-08-28,aggressive,83,0.5424553812871823,1.57,2,0,非涨停组不足2只; 
2026-08-31,aggressive,89,0.5734896302975654,-0.52,2,0,非涨停组不足2只; 
2026-09-01,aggressive,85,0.6099891813919942,-0.12,2,0,非涨停组不足2只; 
2026-09-02,defensive,53,0.27762754642148907,-1.03,1,0,
