T,regime,lu_cnt,adv_ratio,us_ndx,n_lu_picks,n_nlu_picks,note
2026-01-05,aggressive,108,0.7673349273496414,-0.03,2,0,非涨停组不足2只; 
2026-01-06,aggressive,119,0.7523441809156095,0.69,2,0,非涨停组不足2只; 
2026-01-07,defensive,80,0.3981617647058823,0.65,2,1,
2026-01-08,normal,93,0.6832138260709689,0.16,2,2,
2026-01-09,aggressive,98,0.7183305754734326,-0.44,2,0,非涨停组不足2只; 
2026-01-12,aggressive,182,0.7597426470588236,0.81,2,0,非涨停组不足2只; 
2026-01-13,defensive,66,0.2974415608319529,0.26,2,1,
2026-01-14,normal,102,0.5040485829959515,-0.1,2,2,
2026-01-15,defensive,55,0.40868125804671696,-1.0,2,1,
2026-01-16,defensive,57,0.43419117647058825,0.25,2,1,
2026-01-19,normal,87,0.6462697537669975,-0.06,2,2,
2026-01-20,normal,54,0.4081145584725537,-0.06,2,2,
2026-01-21,defensive,80,0.5662871832537643,-2.39,2,1,
2026-01-22,normal,74,0.6540014684287812,1.18,2,2,
2026-01-23,aggressive,105,0.7206826940723069,0.91,2,0,非涨停组不足2只; 
2026-01-26,defensive,71,0.2934263679764965,0.28,2,1,
2026-01-27,defensive,53,0.3527359529930224,0.43,2,1,
2026-01-28,defensive,81,0.31834037084633743,0.91,2,1,
2026-01-29,defensive,84,0.32966226138032306,0.17,2,1,
2026-01-30,defensive,48,0.44850376353956306,-0.72,1,1,
2026-02-02,defensive,36,0.14094329234721967,-0.94,2,0,
2026-02-03,normal,69,0.8902752293577981,0.56,2,0,非涨停组不足2只; 
2026-02-04,normal,68,0.59501100513573,-1.43,2,0,非涨停组不足2只; 
2026-02-05,defensive,45,0.29530447542186355,-1.51,2,0,
2026-02-06,normal,57,0.5031181217901688,-1.59,2,0,非涨停组不足2只; 
2026-02-09,aggressive,86,0.8446156668501192,2.18,2,0,非涨停组不足2只; 
2026-02-10,normal,60,0.4012096774193548,0.9,2,0,非涨停组不足2只; 
2026-02-11,defensive,51,0.37451879010082495,-0.59,2,0,
2026-02-12,defensive,61,0.38534798534798537,-0.16,2,0,
2026-02-13,defensive,32,0.28105533162330526,-2.03,0,0,
2026-02-24,aggressive,93,0.7323685656713684,-1.13,2,0,非涨停组不足2只; 
2026-02-25,aggressive,75,0.6847507331378299,1.04,2,0,非涨停组不足2只; 
2026-02-26,normal,63,0.4543621700879765,1.26,2,2,
2026-02-27,aggressive,75,0.5982404692082112,-1.18,2,0,非涨停组不足2只; 
2026-03-02,defensive,93,0.20934922089825847,-0.92,2,1,
2026-03-03,defensive,81,0.11764705882352941,0.36,2,1,
2026-03-04,defensive,44,0.31892287964828725,-1.02,2,1,
2026-03-05,normal,69,0.7454678630287493,1.29,2,2,
2026-03-06,normal,74,0.7784694251190041,-0.26,2,2,
2026-03-09,defensive,42,0.25997072813757777,-1.59,2,1,
2026-03-10,normal,56,0.8277818448023426,1.38,2,2,
2026-03-11,defensive,53,0.3747942198646424,0.01,2,1,
2026-03-12,defensive,52,0.2729101884031461,0.08,2,1,
2026-03-13,defensive,59,0.2736919136480059,-1.78,2,1,
2026-03-16,normal,47,0.5182067703568161,-0.93,1,2,涨停组不足2只(候选不足或得分低于阈值); 
2026-03-17,defensive,39,0.15833790957349442,1.22,2,1,
2026-03-18,normal,57,0.6489751098096632,0.47,2,0,非涨停组不足2只; 
2026-03-19,defensive,28,0.09169106881405564,-1.46,2,0,
2026-03-20,defensive,29,0.11983168679107208,-0.28,1,1,
2026-03-23,defensive,28,0.0548646671543526,-2.01,2,1,
2026-03-24,aggressive,84,0.9374313940724479,1.38,2,0,非涨停组不足2只; 
2026-03-25,aggressive,84,0.8902505944759466,-0.84,2,0,非涨停组不足2只; 
2026-03-26,defensive,39,0.1672155140870838,0.77,2,0,
2026-03-27,defensive,79,0.7918344928597584,-2.38,2,0,
2026-03-30,defensive,63,0.5247252747252747,-2.15,2,0,
2026-03-31,defensive,53,0.18426349496797803,-0.73,2,0,
2026-04-01,normal,57,0.8211411850768106,3.83,2,2,
2026-04-02,defensive,28,0.19129480614484273,1.16,1,0,
2026-04-03,defensive,36,0.13037118303163284,0.18,1,0,
2026-04-07,aggressive,93,0.7264081931236284,0.54,2,0,非涨停组不足2只; 
2026-04-08,normal,122,0.94318597004019,0.1,2,2,
2026-04-09,defensive,54,0.2080365296803653,2.8,2,1,
2026-04-10,normal,60,0.7240372330717284,0.83,2,2,
2026-04-13,normal,62,0.43292571637160066,0.35,2,2,
2026-04-14,normal,55,0.6776723823422108,1.23,2,2,
2026-04-15,defensive,57,0.33485401459854014,1.96,2,1,
2026-04-16,aggressive,79,0.7808169219547776,1.59,2,0,非涨停组不足2只; 
2026-04-17,normal,70,0.43581327498176514,0.36,2,2,
2026-04-20,aggressive,76,0.6244525547445255,1.52,2,0,非涨停组不足2只; 
2026-04-21,defensive,53,0.3535095715587967,-0.26,2,1,
2026-04-22,normal,56,0.5317286652078774,-0.59,1,2,涨停组不足2只(候选不足或得分低于阈值); 
2026-04-23,defensive,50,0.2421091041780697,1.64,2,1,
2026-04-24,defensive,59,0.37041765456866677,-0.89,2,1,
2026-04-27,defensive,66,0.5983217803721269,1.63,2,1,
2026-04-28,defensive,58,0.30984115391637757,0.2,2,1,
2026-04-29,normal,100,0.7278063096111519,-0.9,2,2,
2026-04-30,normal,79,0.5245511176255039,0.04,2,2,
