T,T1,regime,group,thscode,name,industry,concept,con_pct,con_lu_cnt,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-01-05,2026-01-06,aggressive,lu,002925.SZ,盈趣科技,消费电子,脑机接口,13.697426730673602,28.0,91.0,"{'theme': 1.0, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向/脑机接口 1板 封单比25.4% 涨停时间09:30 题材内涨停29家 概念内涨停28家 驱动概念[脑机接口] 成交4.3亿,脑机接口+机器人+智能制造+摩尔线程,1连板 换手承接量比1.81,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.63,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-05,2026-01-06,aggressive,lu,002555.SZ,三七互娱,游戏,脑机接口,13.697426730673602,28.0,91.0,"{'theme': 1.0, 'concept': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向/脑机接口 1板 封单比17.7% 涨停时间09:36 题材内涨停29家 概念内涨停28家 驱动概念[脑机接口] 成交12.1亿,脑机接口+AI游戏+小游戏流水,1连板 换手承接量比0.86,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收25.96,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-06,2026-01-07,aggressive,lu,600266.SH,城建发展,房地产,卫星导航,2.2833997428760577,12.0,100.0,"{'theme': 1.0, 'concept': 1.0, 'ladder': 1.0, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向/卫星导航 3板 封单比16.3% 涨停时间09:31 题材内涨停12家 概念内涨停12家 驱动概念[卫星导航] 成交7.6亿,商业航天+北京国资+房地产,3连板 换手承接量比1.11,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.14,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-06,2026-01-07,aggressive,lu,002925.SZ,盈趣科技,消费电子,脑机接口,5.7387487104539225,18.0,98.0,"{'theme': 1.0, 'concept': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向/脑机接口 2板 封单比42.8% 涨停时间09:25 题材内涨停17家 概念内涨停18家 驱动概念[脑机接口] 成交4.7亿,脑机接口+机器人+智能制造+摩尔线程,2连板 换手承接量比1.50,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收20.49,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-07,2026-01-08,defensive,lu,600435.SH,北方导航,军工装备,高端装备,0.6999946943742064,7.0,94.0,"{'theme': 0.2, 'concept': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 卫星通信方向/高端装备 2板 封单比18.1% 涨停时间09:35 题材内涨停2家 概念内涨停7家 驱动概念[高端装备] 成交19.1亿,卫星通信+军工制导+央企,2连板 换手承接量比0.93,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收19.82,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-07,2026-01-08,defensive,lu,600266.SH,城建发展,房地产,商业航天,0.8007384926613792,17.0,88.0,"{'theme': 0.4, 'concept': 1.0, 'ladder': 1.0, 'seal': 0.4, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向/商业航天 4板 封单比6.6% 涨停时间09:25 题材内涨停3家 概念内涨停17家 驱动概念[商业航天] 成交16.1亿,商业航天+北京国资+房地产,4连板 换手承接量比1.68,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.75,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-07,2026-01-08,defensive,nlu,603011.SH,合锻智能,专用设备,可控核聚变,2.5305759668036165,8.0,90.609375,"{'sector': 0.774375, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[专用设备](当日涨幅分位75%, 板块涨停5家) 驱动概念[可控核聚变] 距60日高点10.2% 20日涨幅17.8%",板块[专用设备]轮动延续/资金承接/概念热度,收盘25.84 MA20上方 量比1.19,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收25.84,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
2026-01-08,2026-01-09,normal,lu,001400.SZ,江顺科技,专用设备,商业航天,3.562659386270295,37.0,95.5,"{'theme': 1.0, 'concept': 1.0, 'ladder': 1.0, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向/商业航天 3板 封单比10.9% 涨停时间09:35 题材内涨停18家 概念内涨停37家 驱动概念[商业航天] 成交3.1亿,商业航天+液冷服务器+铝挤压模具,3连板 换手承接量比0.84,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收103.26,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-08,2026-01-09,normal,lu,601399.SH,国机重装,专用设备,可控核聚变,3.0182086778254957,11.0,93.5,"{'theme': 1.0, 'concept': 1.0, 'ladder': 0.9, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 可控核聚变方向/可控核聚变 2板 封单比14.8% 涨停时间09:34 题材内涨停6家 概念内涨停11家 驱动概念[可控核聚变] 成交15.5亿,可控核聚变+工业母机+央企,2连板 换手承接量比0.85,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.06,高位情绪兑现/次日低开大幅回撤/炸板断板/概念退潮,1
2026-01-08,2026-01-09,normal,nlu,000917.SZ,电广传媒,文化传媒,物联网,1.478250124642444,10.0,91.00390625,"{'sector': 0.79015625, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 1.0}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[文化传媒](当日涨幅分位85%, 板块涨停1家) 驱动概念[物联网] 距60日高点11.8% 20日涨幅18.6%",板块[文化传媒]轮动延续/资金承接/概念热度,收盘10.91 MA20上方 量比0.87,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收10.91,板块退潮补跌/概念退潮/资金承接不足/持续阴跌,1
