T,regime,lu_cnt,adv_ratio,n_lu_picks,n_nlu_picks,note
2026-01-05,aggressive,108,0.7673349273496414,2,1,非涨停组不足2只; 
2026-01-06,aggressive,119,0.7523441809156095,2,1,非涨停组不足2只; 
2026-01-07,defensive,80,0.3981617647058823,2,1,
2026-01-08,normal,93,0.6832138260709689,2,2,
2026-01-09,aggressive,98,0.7183305754734326,2,1,非涨停组不足2只; 
2026-01-12,aggressive,182,0.7597426470588236,2,1,非涨停组不足2只; 
2026-01-13,defensive,66,0.2974415608319529,2,1,
2026-01-14,normal,102,0.5040485829959515,2,2,
2026-01-15,defensive,55,0.40868125804671696,2,1,
2026-01-16,defensive,57,0.43419117647058825,2,1,
2026-01-19,normal,87,0.6462697537669975,2,2,
2026-01-20,normal,54,0.4081145584725537,2,2,
2026-01-21,aggressive,80,0.5662871832537643,2,1,非涨停组不足2只; 
2026-01-22,normal,74,0.6540014684287812,2,2,
2026-01-23,aggressive,105,0.7206826940723069,2,1,非涨停组不足2只; 
2026-01-26,defensive,71,0.2934263679764965,2,1,
2026-01-27,defensive,53,0.3527359529930224,2,1,
2026-01-28,defensive,81,0.31834037084633743,2,1,
2026-01-29,defensive,84,0.32966226138032306,2,1,
2026-01-30,defensive,48,0.44850376353956306,2,1,
2026-02-02,defensive,36,0.14094329234721967,2,1,
2026-02-03,normal,69,0.8902752293577981,2,2,
2026-02-04,normal,68,0.59501100513573,2,2,
2026-02-05,defensive,45,0.29530447542186355,2,1,
2026-02-06,normal,57,0.5031181217901688,2,2,
2026-02-09,aggressive,86,0.8446156668501192,2,1,非涨停组不足2只; 
2026-02-10,normal,60,0.4012096774193548,2,2,
2026-02-11,defensive,51,0.37451879010082495,2,1,
2026-02-12,defensive,61,0.38534798534798537,2,1,
2026-02-13,defensive,32,0.28105533162330526,0,1,
2026-02-24,aggressive,93,0.7323685656713684,2,1,非涨停组不足2只; 
2026-02-25,aggressive,75,0.6847507331378299,2,1,非涨停组不足2只; 
2026-02-26,normal,63,0.4543621700879765,2,2,
2026-02-27,aggressive,75,0.5982404692082112,2,1,非涨停组不足2只; 
2026-03-02,defensive,93,0.20934922089825847,2,1,
2026-03-03,defensive,81,0.11764705882352941,2,1,
2026-03-04,defensive,44,0.31892287964828725,2,1,
2026-03-05,normal,69,0.7454678630287493,2,2,
2026-03-06,normal,74,0.7784694251190041,2,2,
2026-03-09,defensive,42,0.25997072813757777,2,1,
2026-03-10,normal,56,0.8277818448023426,2,2,
2026-03-11,defensive,53,0.3747942198646424,2,1,
2026-03-12,defensive,52,0.2729101884031461,2,1,
2026-03-13,defensive,59,0.2736919136480059,2,1,
2026-03-16,normal,47,0.5182067703568161,1,2,涨停组不足2只(候选不足或得分低于阈值); 
2026-03-17,defensive,39,0.15833790957349442,2,1,
2026-03-18,normal,57,0.6489751098096632,2,2,
2026-03-19,defensive,28,0.09169106881405564,2,1,
2026-03-20,defensive,29,0.11983168679107208,2,1,
2026-03-23,defensive,28,0.0548646671543526,2,1,
2026-03-24,aggressive,84,0.9374313940724479,2,1,非涨停组不足2只; 
2026-03-25,aggressive,84,0.8902505944759466,2,1,非涨停组不足2只; 
2026-03-26,defensive,39,0.1672155140870838,2,1,
2026-03-27,aggressive,79,0.7918344928597584,2,1,非涨停组不足2只; 
2026-03-30,normal,63,0.5247252747252747,2,2,
2026-03-31,defensive,53,0.18426349496797803,2,1,
2026-04-01,normal,57,0.8211411850768106,2,2,
2026-04-02,defensive,28,0.19129480614484273,2,1,
2026-04-03,defensive,36,0.13037118303163284,2,1,
2026-04-07,aggressive,93,0.7264081931236284,2,1,非涨停组不足2只; 
2026-04-08,normal,122,0.94318597004019,2,2,
2026-04-09,defensive,54,0.2080365296803653,2,1,
2026-04-10,normal,60,0.7240372330717284,2,2,
2026-04-13,normal,62,0.43292571637160066,2,2,
2026-04-14,normal,55,0.6776723823422108,2,2,
2026-04-15,defensive,57,0.33485401459854014,2,1,
2026-04-16,aggressive,79,0.7808169219547776,2,1,非涨停组不足2只; 
2026-04-17,normal,70,0.43581327498176514,2,2,
2026-04-20,aggressive,76,0.6244525547445255,2,1,非涨停组不足2只; 
2026-04-21,defensive,53,0.3535095715587967,2,1,
2026-04-22,normal,56,0.5317286652078774,2,2,
2026-04-23,defensive,50,0.2421091041780697,2,1,
2026-04-24,defensive,59,0.37041765456866677,2,1,
2026-04-27,defensive,66,0.5983217803721269,2,1,
2026-04-28,defensive,58,0.30984115391637757,2,1,
2026-04-29,normal,100,0.7278063096111519,2,2,
2026-04-30,normal,79,0.5245511176255039,2,2,
2026-05-06,aggressive,101,0.7080145719489982,2,1,非涨停组不足2只; 
2026-05-07,aggressive,100,0.6406335335882032,2,1,非涨停组不足2只; 
2026-05-08,aggressive,98,0.6614460025496267,2,1,非涨停组不足2只; 
2026-05-11,aggressive,93,0.5667455836823894,2,1,非涨停组不足2只; 
2026-05-12,defensive,57,0.25100182149362477,2,1,
2026-05-13,aggressive,110,0.5840160203895868,2,1,非涨停组不足2只; 
2026-05-14,defensive,55,0.1902421263426179,2,1,
2026-05-15,defensive,54,0.32793448589626933,2,1,
2026-05-18,normal,82,0.43080560101836696,2,2,
2026-05-19,aggressive,90,0.654469324594939,2,1,非涨停组不足2只; 
2026-05-20,defensive,62,0.2968892122976169,2,1,
2026-05-21,defensive,35,0.12545454545454546,2,1,
2026-05-22,normal,115,0.6996183899691077,2,2,
2026-05-25,defensive,103,0.39469380337997456,2,1,
2026-05-26,defensive,49,0.24350354352171544,2,1,
2026-05-27,defensive,46,0.1751135331516803,2,1,
2026-05-28,normal,97,0.5427792915531335,2,2,
2026-05-29,defensive,51,0.27411444141689373,2,1,
2026-06-01,defensive,120,0.6823550790477921,2,1,
2026-06-02,defensive,66,0.2791712104689204,2,1,
2026-06-03,defensive,66,0.30929894660370505,2,1,
2026-06-04,defensive,78,0.24173628768616054,2,1,
2026-06-05,normal,72,0.5859502632056635,2,2,
2026-06-08,defensive,56,0.16161249319048485,2,1,
2026-06-09,normal,127,0.5985838779956427,2,2,
2026-06-10,defensive,70,0.2784741144414169,2,1,
2026-06-11,defensive,69,0.2454578488372093,2,1,
2026-06-12,normal,91,0.7079019073569482,2,2,
2026-06-15,aggressive,147,0.7056898745682603,2,1,非涨停组不足2只; 
2026-06-16,normal,119,0.4925535779150018,2,2,
2026-06-17,defensive,86,0.31061432206470374,2,1,
2026-06-18,defensive,91,0.3620658301509365,2,1,
2026-06-22,aggressive,138,0.5279898218829516,2,1,非涨停组不足2只; 
